INR,VKORC1 G alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,Age,Dose
1.2742742,0.5,0.5,0.5,50.0,24.0
1.2807808,0.5,0.5,0.5,50.0,24.0
1.2872872,0.5,0.5,0.5,50.0,24.0
1.2937938,0.5,0.5,0.5,50.0,24.0
1.3003004,0.5,0.5,0.5,50.0,24.0
1.3068068,0.5,0.5,0.5,50.0,24.0
1.3133134,0.5,0.5,0.5,50.0,24.0
1.3198198,0.5,0.5,0.5,50.0,24.0
1.3263264,0.5,0.5,0.5,50.0,24.0
1.3328328,0.5,0.5,0.5,50.0,24.0
1.3393394,0.5,0.5,0.5,50.0,24.0
1.3458458,0.5,0.5,0.5,50.0,24.0
1.3523524,0.5,0.5,0.5,50.0,24.0
1.3588588,0.5,0.5,0.5,50.0,24.0
1.3653654,0.5,0.5,0.5,50.0,24.0
1.3718718,0.5,0.5,0.5,50.0,24.0
1.3783784,0.5,0.5,0.5,50.0,24.0
1.3848848,0.5,0.5,0.5,50.0,24.0
1.3913914,0.5,0.5,0.5,50.0,24.0
1.3978978,0.5,0.5,0.5,50.0,24.0
1.4044044,0.5,0.5,0.5,50.0,24.0
1.410911,0.5,0.5,0.5,50.0,24.0
1.4174174,0.5,0.5,0.5,50.0,24.0
1.423924,0.5,0.5,0.5,50.0,24.0
1.4304304,0.5,0.5,0.5,50.0,24.0
1.436937,0.5,0.5,0.5,50.0,24.0
1.4434434,0.5,0.5,0.5,50.0,24.0
1.44995,0.5,0.5,0.5,50.0,24.0
1.4564564,0.5,0.5,0.5,50.0,24.0
1.462963,0.5,0.5,0.5,50.0,24.0
1.4694694,0.5,0.5,0.5,50.0,24.0
1.475976,0.5,0.5,0.5,50.0,24.0
1.4824824,0.5,0.5,0.5,50.0,24.0
1.488989,0.5,0.5,0.5,50.0,24.0
1.4954954,0.5,0.5,0.5,50.0,24.0
1.502002,0.5,0.5,0.5,50.0,24.0
1.5085086,0.5,0.5,0.5,50.0,24.0
1.515015,0.5,0.5,0.5,50.0,24.0
1.5215216,0.5,0.5,0.5,50.0,24.0
1.528028,0.5,0.5,0.5,50.0,24.0
1.5345346,0.5,0.5,0.5,50.0,24.0
1.541041,0.5,0.5,0.5,50.0,24.0
1.5475476,0.5,0.5,0.5,50.0,24.0
1.554054,0.5,0.5,0.5,50.0,24.0
1.5605606,0.5,0.5,0.5,50.0,26.5
1.567067,0.5,0.5,0.5,50.0,26.5
1.5735736,0.5,0.5,0.5,50.0,26.5
1.58008,0.5,0.5,0.5,50.0,26.5
1.5865866,0.5,0.5,0.5,50.0,26.5
1.593093,0.5,0.5,0.5,50.0,26.5
1.5995996,0.5,0.5,0.5,50.0,26.5
1.6061062,0.5,0.5,0.5,50.0,26.5
1.6126126,0.5,0.5,0.5,50.0,26.5
1.6191192,0.5,0.5,0.5,50.0,26.5
1.6256256,0.5,0.5,0.5,50.0,26.5
1.6321322,0.5,0.5,0.5,50.0,26.5
1.6386386,0.5,0.5,0.5,50.0,26.5
1.6451452,0.5,0.5,0.5,50.0,26.5
1.6516516,0.5,0.5,0.5,50.0,26.5
1.6581582,0.5,0.5,0.5,50.0,26.5
1.6646646,0.5,0.5,0.5,50.0,26.5
1.6711712,0.5,0.5,0.5,50.0,26.5
1.6776776,0.5,0.5,0.5,50.0,26.5
1.6841842,0.5,0.5,0.5,50.0,26.5
1.6906906,0.5,0.5,0.5,50.0,26.5
1.6971972,0.5,0.5,0.5,50.0,26.5
1.7037038,0.5,0.5,0.5,50.0,26.5
